,Musicians,Sentiment
0,2face Idibia,0.18
1,9ice ,0.09000000000000004
2,Adekunle Gold,0.0
3,Asa,-0.027500000000000004
4,Banky W,0.2033333333333333
5,blackface naija,0.0
6,Brymo ,0.20454545454545453
7,Burna Boy ,0.034999999999999996
8,CDQ,0.12333333333333334
9,Cynthia Morgan,0.13999999999999999
10,D'banj,0.25625
11,Darey,0.23666666666666666
12,Dele ojo,0.05
13,D'prince,0.017916666666666674
14,Duncan Mighty,0.186
15,Davido,0.046666666666666655
16,Don Jazzy,0.14333333333333334
17,Dr SID ,0.2403030303030303
18,Ebenezer Obey,0.37333333333333335
19,Falz,-0.052916666666666654
20,Fela Kuti ,0.18333333333333332
21,Femi Kuti,-0.14727272727272728
22,Fireboy DML,0.15333333333333335
23,Flavour N'abania ,0.4600000000000001
24,Frank Edwards,0.05454545454545454
25,Harrysong ,0.06341558441558441
26,Haruna Ishola,0.29166666666666663
27,Ice Prince ,-0.009999999999999998
28,Iyanya,0.15
29,J.Martins,0.645
30,Joeboy ,0.14333333333333334
31,Kcee,0.08
32,Kiss Daniel,0.21333333333333332
33,Korede Bello,0.15
34,Lyta,0.1666060606060606
35,Lil Kesh,0.1433333333333333
36,Laycon,0.07454545454545453
37,Muma Gee,
38,Naeto C,0.45999999999999996
39,Naira Marley ,0.0
40,Niniola,0.45999999999999996
41,Obesere,0.16
42,Olamide ,0.013636363636363636
43,Omawumi ,0.01477272727272727
44,Oritse Femi,0.11833333333333336
45,Patoranking ,-0.045
46,Peruzzi,0.0
47,Phyno,0.2
48,Rema,0.08444444444444443
49,Ruggardman,
50,Reekado Banks ,0.0
51,Runtown,0.08
52,Sean Tizzle ,0.1713131313131313
53,Simi,0.17416666666666666
54,Sinach ,0.4580743963068182
55,Shola Allynson ,
56,Sunny Ade,0.04000000000000003
57,Sound Sultan,0.1275
58,Teni ,0.22999999999999998
59,Terry G,0.05166666666666668
60,Timaya,-0.03357142857142857
61,Tiwa Savage,0.4
62,Timi Dakolo,0.4750000000000001
63,Wizkid,0.1
64,Yemi Alade,0.039999999999999994
65,Yinka Ayefele,-0.03272727272727274
66,Zlatan,0.0125
67,Frank Edwards  ,0.05454545454545454
